Time,Tt,wt,Ts,PINN_Tt,PINN_wt,PINN_Ts
0.0,23.0,8.0,18.0,23.00457,7.9397936,23.357597
0.1,23.000908,8.000124,17.978237,23.004864,7.93948,23.337997
0.2,23.001795,8.000248,17.973488,23.00546,7.9393945,23.334177
0.30000000000000004,23.00267,8.000372,17.981838,23.006285,7.939477,23.342783
0.4,23.003542,8.000496,18.000246,23.007318,7.9396863,23.360935
0.5,23.004417,8.00062,18.026348,23.008493,7.9400005,23.386253
0.6000000000000001,23.0053,8.000744,18.058311,23.009768,7.940392,23.41682
0.7000000000000001,23.006193,8.000868,18.094715,23.011133,7.9408517,23.451136
0.8,23.0071,8.000992,18.13446,23.012548,7.94136,23.488049
0.9,23.00802,8.001116,18.176697,23.013988,7.9419065,23.526697
1.0,23.00896,8.00124,18.22077,23.015476,7.942485,23.566422
1.1,23.009918,8.001363,18.26617,23.016962,7.9430842,23.606739
1.2000000000000002,23.010895,8.001486,18.312511,23.018475,7.9437013,23.647308
1.3,23.011892,8.001609,18.35949,23.019989,7.944332,23.687857
1.4000000000000001,23.01291,8.001732,18.406876,23.021505,7.9449735,23.728212
1.5,23.01395,8.001855,18.454494,23.023022,7.945618,23.768236
1.6,23.01501,8.001978,18.502209,23.024555,7.9462686,23.807837
1.7000000000000002,23.016094,8.002101,18.549915,23.02608,7.946918,23.846952
1.8,23.017199,8.002224,18.597536,23.027613,7.947574,23.885544
1.9000000000000001,23.018326,8.002347,18.645012,23.029139,7.948226,23.923567
2.0,23.019476,8.00247,18.692295,23.03068,7.948881,23.961025
2.1,23.020647,8.002593,18.739353,23.032213,7.949528,23.997904
2.2,23.021841,8.002715,18.786161,23.03377,7.950177,24.034199
2.3000000000000003,23.023058,8.002837,18.832699,23.035318,7.9508257,24.069906
2.4000000000000004,23.024296,8.002959,18.878954,23.036882,7.9514675,24.105034
2.5,23.025557,8.003081,18.924915,23.038439,7.952112,24.139593
2.6,23.02684,8.003203,18.970575,23.040014,7.9527497,24.173582
2.7,23.028145,8.003325,19.015928,23.04159,7.9533877,24.207005
2.8000000000000003,23.029472,8.003448,19.060972,23.043188,7.9540224,24.23988
2.9000000000000004,23.030823,8.00357,19.105705,23.04479,7.954656,24.2722
3.0,23.032194,8.003692,19.150126,23.046389,7.9552903,24.303984
3.1,23.033588,8.003814,19.194233,23.048008,7.9559216,24.335224
3.2,23.035006,8.003935,19.238028,23.049646,7.9565487,24.36594
3.3000000000000003,23.036444,8.004056,19.281511,23.051285,7.957179,24.396135
3.4000000000000004,23.037905,8.004177,19.324684,23.052938,7.957802,24.4258
3.5,23.039387,8.004298,19.367548,23.054602,7.95843,24.454967
3.6,23.040892,8.004419,19.410105,23.056282,7.9590545,24.483608
3.7,23.042418,8.00454,19.452356,23.057974,7.9596806,24.511753
3.8000000000000003,23.043966,8.004662,19.494303,23.059677,7.960308,24.539387
3.9000000000000004,23.045536,8.004783,19.535946,23.061392,7.9609337,24.56652
4.0,23.047129,8.004904,19.577288,23.063124,7.9615636,24.593155
4.1000000000000005,23.048742,8.005025,19.618332,23.064863,7.9621897,24.619305
4.2,23.050379,8.005145,19.659077,23.06663,7.9628205,24.644953
4.3,23.052036,8.005265,19.699528,23.0684,7.9634466,24.670113
4.4,23.053715,8.005385,19.739685,23.07018,7.964079,24.694778
4.5,23.055416,8.005506,19.77955,23.071993,7.964711,24.718956
4.6000000000000005,23.057138,8.005626,19.819126,23.073809,7.965346,24.742657
4.7,23.058882,8.005746,19.858416,23.07564,7.965984,24.765862
4.800000000000001,23.060648,8.005866,19.897417,23.077486,7.966623,24.788582
4.9,23.062435,8.005986,19.936136,23.079344,7.967264,24.81083
5.0,23.064243,8.006106,19.974573,23.081228,7.9679074,24.832588
5.1000000000000005,23.066072,8.006226,20.01273,23.083128,7.968556,24.853863
5.2,23.067923,8.006345,20.050606,23.085033,7.9692016,24.874657
5.300000000000001,23.069796,8.006464,20.088207,23.086952,7.969851,24.894978
5.4,23.07169,8.006583,20.125532,23.088896,7.9705067,24.914806
5.5,23.073605,8.006702,20.162584,23.090858,7.971168,24.934164
5.6000000000000005,23.07554,8.006822,20.199366,23.092829,7.971829,24.953033
5.7,23.077497,8.006941,20.235878,23.094822,7.9724913,24.971434
5.800000000000001,23.079475,8.00706,20.272123,23.096827,7.973161,24.98936
5.9,23.081474,8.007179,20.308102,23.098852,7.9738307,25.00681
6.0,23.083494,8.0072975,20.343815,23.100897,7.974503,25.023777
6.1000000000000005,23.085533,8.007416,20.379267,23.102953,7.9751835,25.040276
6.2,23.087593,8.007534,20.414457,23.10502,7.975863,25.056297
6.300000000000001,23.089674,8.007652,20.449389,23.10711,7.976546,25.07185
6.4,23.091776,8.007771,20.484062,23.109213,7.977234,25.086924
6.5,23.093899,8.007889,20.51848,23.111341,7.9779253,25.101532
6.6000000000000005,23.09604,8.008007,20.552643,23.11348,7.9786224,25.11567
6.7,23.098204,8.008125,20.586554,23.115625,7.979318,25.129341
6.800000000000001,23.100388,8.008243,20.620213,23.117807,7.98002,25.142536
6.9,23.10259,8.00836,20.653624,23.119997,7.980724,25.155277
7.0,23.104815,8.008477,20.686787,23.1222,7.9814315,25.167545
7.1000000000000005,23.107058,8.0085945,20.719704,23.12443,7.982146,25.179363
7.2,23.109322,8.008712,20.752375,23.126665,7.982857,25.190712
7.300000000000001,23.111605,8.008829,20.784803,23.128931,7.9835715,25.201603
7.4,23.113909,8.008946,20.81699,23.1312,7.984295,25.212036
7.5,23.116232,8.009064,20.848936,23.133493,7.9850154,25.22202
7.6000000000000005,23.118576,8.009181,20.880644,23.135805,7.98574,25.231548
7.7,23.12094,8.009297,20.912115,23.138132,7.986467,25.240623
7.800000000000001,23.123322,8.009414,20.943352,23.140474,7.987195,25.249262
7.9,23.125723,8.00953,20.974354,23.14284,7.9879255,25.257439
8.0,23.128145,8.009646,21.005123,23.145216,7.988661,25.265186
8.1,23.130587,8.009763,21.035662,23.147615,7.9893966,25.272488
8.200000000000001,23.133047,8.009879,21.065971,23.15003,7.990132,25.27936
8.3,23.135527,8.009995,21.096052,23.152458,7.9908714,25.285793
8.4,23.138025,8.010112,21.125906,23.15491,7.991608,25.291798
8.5,23.140543,8.010227,21.155535,23.157373,7.992348,25.297373
8.6,23.14308,8.010343,21.18494,23.159853,7.9930854,25.302526
8.700000000000001,23.145636,8.010458,21.214123,23.16236,7.9938283,25.307255
8.8,23.14821,8.010573,21.243084,23.164873,7.9945674,25.311571
8.9,23.150805,8.010689,21.271824,23.167406,7.9953084,25.315475
9.0,23.153416,8.010804,21.300346,23.16996,7.9960465,25.31897
9.1,23.156046,8.01092,21.328651,23.172525,7.996784,25.32206
9.200000000000001,23.158695,8.011035,21.356739,23.175108,7.9975243,25.324745
9.3,23.161364,8.011149,21.384613,23.177711,7.9982624,25.327034
9.4,23.16405,8.011264,21.412273,23.180338,7.9989967,25.328926
9.5,23.166754,8.011378,21.439722,23.182978,7.9997306,25.330439
9.600000000000001,23.169476,8.011493,21.466959,23.185629,8.000461,25.331558
9.700000000000001,23.172216,8.011607,21.493986,23.188295,8.001187,25.332308
9.8,23.174974,8.011722,21.520805,23.19099,8.001913,25.33268
9.9,23.177752,8.011836,21.547419,23.193697,8.002639,25.33268
10.0,23.180546,8.0119505,21.573826,23.196417,8.003355,25.332317
10.100000000000001,23.183357,8.012064,21.600027,23.19916,8.004071,25.331593
10.200000000000001,23.186186,8.012177,21.626024,23.201906,8.004785,25.330507
10.3,23.189034,8.012291,21.65182,23.20469,8.005487,25.329079
10.4,23.191898,8.012404,21.677414,23.20747,8.006194,25.327309
10.5,23.19478,8.012518,21.702808,23.210283,8.006891,25.325195
10.600000000000001,23.19768,8.012631,21.728004,23.213108,8.007584,25.322744
10.700000000000001,23.200596,8.012745,21.753002,23.215954,8.008269,25.31997
10.8,23.20353,8.012858,21.777803,23.21881,8.008945,25.316875
10.9,23.20648,8.012971,21.802408,23.221682,8.009626,25.313456
11.0,23.209448,8.013083,21.826818,23.224577,8.010292,25.309727
11.100000000000001,23.212431,8.013196,21.851036,23.22748,8.010952,25.305698
11.200000000000001,23.215431,8.013309,21.875061,23.230406,8.011604,25.301367
11.3,23.218449,8.013421,21.898893,23.233349,8.012251,25.296738
11.4,23.221483,8.013534,21.922537,23.236315,8.012889,25.29182
11.5,23.224533,8.013646,21.94599,23.239286,8.013521,25.286621
11.600000000000001,23.2276,8.013758,21.969255,23.242277,8.014141,25.28115
11.700000000000001,23.230682,8.013869,21.992334,23.245287,8.014756,25.275402
11.8,23.233782,8.013981,22.015226,23.248316,8.01536,25.269398
11.9,23.236897,8.014092,22.037933,23.251356,8.015955,25.263126
12.0,23.240026,8.014204,22.060455,23.254416,8.016544,25.256615
12.100000000000001,23.243174,8.014316,22.082794,23.257494,8.017119,25.249847
12.200000000000001,23.246336,8.014427,22.104952,23.260584,8.01769,25.24285
12.3,23.249514,8.014539,22.126926,23.263693,8.018246,25.235613
12.4,23.252707,8.014649,22.148722,23.26682,8.018792,25.22815
12.5,23.255915,8.01476,22.170338,23.269964,8.019328,25.220463
12.600000000000001,23.259138,8.014871,22.191774,23.273127,8.019854,25.21257
12.700000000000001,23.262377,8.014981,22.213034,23.276297,8.020371,25.204468
12.8,23.26563,8.015092,22.234116,23.279493,8.020875,25.196157
12.9,23.2689,8.0152025,22.25502,23.282698,8.021374,25.187662
13.0,23.272184,8.015313,22.275751,23.28593,8.021855,25.178972
13.100000000000001,23.275482,8.015423,22.296309,23.289171,8.0223255,25.170097
13.200000000000001,23.278795,8.0155325,22.316692,23.292433,8.022784,25.161049
13.3,23.282124,8.015642,22.336903,23.295706,8.023235,25.151829
13.4,23.285465,8.015752,22.356941,23.299006,8.023673,25.142448
13.5,23.288822,8.0158615,22.37681,23.302317,8.024098,25.132917
13.600000000000001,23.292192,8.015971,22.396507,23.30564,8.024517,25.123226
13.700000000000001,23.295578,8.016081,22.416037,23.308987,8.024921,25.113394
13.8,23.298977,8.016191,22.435396,23.312347,8.025311,25.103422
13.9,23.30239,8.016299,22.45459,23.315723,8.02569,25.093319
14.0,23.305815,8.016408,22.473616,23.319118,8.026059,25.083092
14.100000000000001,23.309256,8.016517,22.492476,23.322527,8.026419,25.072733
14.200000000000001,23.31271,8.016625,22.51117,23.325956,8.026762,25.062271
14.3,23.316177,8.016734,22.5297,23.329397,8.027097,25.051699
14.4,23.319658,8.016843,22.548065,23.332863,8.027421,25.041029
14.5,23.323153,8.016952,22.566267,23.336344,8.027733,25.03026
14.600000000000001,23.32666,8.01706,22.584307,23.339836,8.028032,25.019405
14.700000000000001,23.33018,8.017168,22.602184,23.343344,8.028322,25.00846
14.8,23.333712,8.017276,22.6199,23.346869,8.0286,24.99744
14.9,23.337257,8.017384,22.637455,23.35042,8.028869,24.986341
15.0,23.340815,8.017491,22.654852,23.353977,8.029124,24.975185
15.100000000000001,23.344385,8.017599,22.672089,23.357557,8.029369,24.963964
15.200000000000001,23.347967,8.017707,22.689167,23.36115,8.029604,24.952686
15.3,23.351562,8.017815,22.706087,23.36476,8.02983,24.94136
15.4,23.35517,8.017921,22.72285,23.368382,8.030041,24.929987
15.5,23.358788,8.018028,22.739458,23.372023,8.030245,24.91858
15.600000000000001,23.36242,8.018135,22.755909,23.37568,8.030439,24.907131
15.700000000000001,23.366062,8.018242,22.772205,23.379358,8.030627,24.895657
15.8,23.369717,8.018349,22.788345,23.383045,8.0308,24.884165
15.9,23.373383,8.0184555,22.804333,23.386747,8.030964,24.872652
16.0,23.37706,8.018562,22.820166,23.39047,8.031122,24.86113
16.1,23.380749,8.018669,22.835846,23.394205,8.03127,24.849583
16.2,23.384449,8.018775,22.851374,23.397953,8.031407,24.83805
16.3,23.38816,8.018881,22.866749,23.401718,8.031538,24.826513
16.400000000000002,23.391882,8.018987,22.881973,23.405497,8.031659,24.814983
16.5,23.395615,8.019093,22.897047,23.409288,8.031774,24.803465
16.6,23.399359,8.019198,22.91197,23.413097,8.031881,24.791967
16.7,23.403112,8.019304,22.926743,23.41693,8.031978,24.780474
16.8,23.406878,8.01941,22.941366,23.420767,8.032069,24.769018
16.900000000000002,23.410652,8.019515,22.955841,23.424622,8.032155,24.757587
17.0,23.414436,8.01962,22.97017,23.428486,8.032232,24.74619
17.1,23.418232,8.019725,22.984348,23.43236,8.032303,24.734827
17.2,23.422037,8.01983,22.99838,23.436258,8.032365,24.723518
17.3,23.425852,8.019935,23.012266,23.440166,8.032425,24.712246
17.400000000000002,23.429676,8.02004,23.026005,23.44409,8.032478,24.701023
17.5,23.43351,8.020144,23.039598,23.448015,8.032523,24.689854
17.6,23.437353,8.020249,23.053045,23.451963,8.032567,24.678743
17.7,23.441206,8.020353,23.066347,23.455925,8.032602,24.667694
17.8,23.445068,8.020457,23.079506,23.45989,8.032634,24.656708
17.900000000000002,23.448938,8.020561,23.09252,23.463873,8.03266,24.64579
18.0,23.452818,8.020665,23.10539,23.46787,8.032682,24.634949
18.1,23.456707,8.020769,23.118116,23.471872,8.032702,24.624176
18.2,23.460604,8.020873,23.130701,23.475885,8.032718,24.613491
18.3,23.46451,8.020977,23.143143,23.479921,8.032728,24.60288
18.400000000000002,23.468424,8.021081,23.155441,23.483957,8.032738,24.592354
18.5,23.472345,8.021184,23.167599,23.488005,8.032741,24.581915
18.6,23.476276,8.021287,23.179613,23.492064,8.032742,24.571571
18.7,23.480215,8.02139,23.191488,23.496136,8.03274,24.561321
18.8,23.484161,8.021493,23.203222,23.50022,8.032732,24.551168
18.900000000000002,23.488115,8.021596,23.214815,23.504301,8.03273,24.541111
19.0,23.492077,8.021699,23.226269,23.508406,8.032722,24.531158
19.1,23.496046,8.021802,23.237581,23.512506,8.032707,24.52131
19.200000000000003,23.500023,8.021904,23.248756,23.516623,8.032699,24.511566
19.3,23.504007,8.022006,23.259792,23.520754,8.032683,24.501934
19.400000000000002,23.507998,8.022108,23.270689,23.524881,8.032667,24.492418
19.5,23.511995,8.02221,23.281446,23.529018,8.032647,24.483013
19.6,23.515999,8.022312,23.292067,23.53317,8.032631,24.473724
19.700000000000003,23.52001,8.022414,23.302547,23.537321,8.03261,24.464546
19.8,23.524027,8.022516,23.312891,23.541487,8.032592,24.4555
