Time (s),LQR fa_dot,LQR fw_dot,LQR u3
0.0,2.6,0.0009,0.0
0.5,2.600164792063114,0.003,-5e-05
1.0,2.6002481929072796,0.0,-5e-05
1.5,2.6003751611774697,0.003,-5e-05
2.0,2.600461151557668,0.0,-5e-05
2.5,2.600585846205017,0.003,-5e-05
3.0,2.60068036395305,0.003,-5e-05
3.5,2.6006670521304054,0.0,-5e-05
4.0,2.600755669940139,0.003,-5e-05
4.5,2.600835456980818,0.003,-5e-05
5.0,2.6008187112072294,0.0,-5e-05
5.5,2.600885178732483,0.003,-5e-05
6.0,2.6009448243646243,0.003,-5e-05
6.5,2.600906535714418,0.003,-5e-05
7.0,2.6008367673512445,0.0,-5e-05
7.5,2.6008847107669095,0.003,-5e-05
8.0,2.600920231969804,0.003,-5e-05
8.5,2.6008643057405125,0.003,-5e-05
9.0,2.600781058137668,0.0,-5e-05
9.5,2.6008038203013744,0.003,-5e-05
10.0,2.600829353964333,0.003,-5e-05
10.5,2.600749874361282,0.0,-5e-05
11.0,2.6007694541715893,0.003,-5e-05
11.5,2.6007784213401655,0.003,-5e-05
12.0,2.600683918699666,0.0,-5e-05
12.5,2.6006914180651597,0.003,-5e-05
13.0,2.6006834493255067,0.003,-5e-05
13.5,2.6005839081193556,0.0,-5e-05
14.0,2.600572271524535,0.003,-5e-05
14.5,2.600549197717782,0.0,-5e-05
15.0,2.6005614732981677,0.003,-5e-05
15.5,2.600551964448827,0.0,-5e-05
16.0,2.6005664230365957,0.003,-5e-05
16.5,2.600550305011177,0.0,-5e-05
17.0,2.6005601558224454,0.003,-5e-05
17.5,2.600534906959141,0.0,-5e-05
18.0,2.6005354798092646,0.003,-5e-05
18.5,2.600508136438847,0.0,-5e-05
19.0,2.600495633604326,0.003,-5e-05
19.5,2.600461194972615,0.0,-5e-05
20.0,2.6004558827926827,0.003,-5e-05
20.5,2.600414586909601,0.0,-5e-05
21.0,2.600401494493736,0.003,-5e-05
21.5,2.6003567536674113,0.0,-5e-05
